Class;Co-change-class;Comon-percentage;Common-count;Total(Class)
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/ManifestTest.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/ManifestTask.java;100.0;3;3
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/ExecTaskTest.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/FixCRLF.java;100.0;2;2
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/ExecTaskTest.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Zip.java;100.0;2;2
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/ExecTaskTest.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/unix/Symlink.java;100.0;2;2
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/ExecTaskTest.java;/ant/core/trunk/src/main/org/apache/tools/ant/types/selectors/modifiedselector/ModifiedSelector.java;100.0;2;2
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/ExecTaskTest.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/JavaTest.java;100.0;2;2
/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/ExecTaskTest.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/types/selectors/ModifiedSelectorTest.java;100.0;2;2
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/junit/FailureRecorder.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/junit/FormatterElement.java;44.44444444444444;4;9
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/junit/FailureRecorder.java;/ant/core/trunk/src/main/org/apache/tools/ant/util/FileUtils.java;22.22222222222222;2;9
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/junit/FailureRecorder.java;/ant/core/trunk/src/tests/junit/org/apache/tools/ant/taskdefs/optional/junit/JUnitTaskTest.java;22.22222222222222;2;9
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/condition/ResourceContains.java;/ant/core/trunk/src/main/org/apache/tools/ant/util/ScriptRunnerBase.java;28.57142857142857;2;7
/ant/core/trunk/src/main/org/apache/tools/ant/util/ScriptRunnerBase.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/condition/ResourceContains.java;50.0;2;4
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/splash/SplashTask.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/net/TelnetTask.java;100.0;2;2
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/splash/SplashTask.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/ssh/SSHExec.java;100.0;2;2
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/WaitFor.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/BlockFor.java;50.0;2;4
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/WaitFor.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/BuildTimeoutException.java;50.0;2;4
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/WaitFor.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/testing/Funtest.java;50.0;2;4
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/WaitFor.java;/ant/core/trunk/src/main/org/apache/tools/ant/util/WorkerAnt.java;50.0;2;4
/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/optional/depend/Depend.java;/ant/core/trunk/src/main/org/apache/tools/ant/taskdefs/Rmic.java;50.0;2;4
